model,mean_accuracy,bootstrap_mean,ci_lower,ci_upper,std_error,n_samples
anthropic__claude-sonnet-4.5,0.9493006993006993,0.9492898076923076,0.9437062937062937,0.9548951048951049,0.002870834951657986,5720
devstral__24b,0.9243006993006992,0.9242948426573426,0.9173076923076923,0.9309440559440559,0.0035140981166667863,5720
gemma3__12b,0.8886363636363637,0.8886485839160839,0.880590034965035,0.8966783216783217,0.00411916313722056,5720
gemma3__1b,0.7078671328671329,0.7079103146853147,0.695979020979021,0.7194055944055944,0.005967802194580906,5720
gemma3__27b,0.9176573426573427,0.9176604545454545,0.9104895104895104,0.9246503496503496,0.00362646279874497,5720
gemma3__4b,0.8480769230769231,0.8481411363636363,0.8388111888111888,0.8571678321678322,0.004689190517729356,5720
google__gemini-2.5-flash,0.9486013986013986,0.9486310139860139,0.9430026223776223,0.9541958041958042,0.002889159927480098,5720
llama3.2__1b,0.704020979020979,0.7040056993006992,0.691958041958042,0.7157342657342657,0.006025797377498817,5720
llama3.2__3b,0.7963286713286714,0.7962809965034966,0.7858391608391608,0.8066433566433566,0.005271664461312216,5720
llama3.3__70b,0.9243006993006992,0.9243356293706293,0.9174825174825175,0.9311188811188811,0.0034692613571583346,5720
llama4__16x17b,0.9318181818181818,0.9317635664335663,0.9251748251748252,0.9381118881118881,0.0033038193362326684,5720
mistral-large__123b,0.8744755244755245,0.8744357867132867,0.865909090909091,0.8832167832167832,0.004367688642535479,5720
mistral-small3.2__24b,0.9286713286713286,0.928669597902098,0.922027972027972,0.9353146853146853,0.00339399113362685,5720
mixtral__8x22b,0.9066433566433566,0.9066527272727272,0.8989510489510489,0.9141608391608391,0.003825873610761347,5720
openai__gpt-4.1,0.9555944055944056,0.9555923951048951,0.9501748251748252,0.9608391608391609,0.002712924916796223,5720
phi3.5__3.8b,0.881993006993007,0.8820228671328673,0.8736013986013986,0.890034965034965,0.0042106766839580785,5720
phi3__14b,0.8996503496503496,0.8997102097902098,0.8917832167832168,0.9073426573426573,0.003959819008524616,5720
phi4-mini__3.8b,0.8875874125874126,0.887579562937063,0.8793706293706294,0.895458916083916,0.004131054454950129,5720
phi4__14b,0.9276223776223776,0.9275945804195804,0.9208041958041958,0.9340909090909091,0.0033764834647246984,5720
